user_id,mood,recent_activity,suggested_activity,timestamp
469,Anxiety/Stress,"Progressive Muscle Relaxation – Tense each muscle for 5 sec, then release.","Stretching Routine – Stretch arms, neck, and legs to release physical tension.",2025-03-12T21:38:24.704945+00:00
332,Sadness/Despair,"Mindful Walking – Take a slow walk, paying attention to your breathing and steps.",Watch a Funny Clip – Play a short funny video or meme to spark a smile.,2025-02-22T21:38:24.704963+00:00
479,Anxiety/Stress,Write & Rip Technique – Write down worries and tear the paper. Imagine throwing stress away.,"4-7-8 Breathing – Inhale for 4 sec, hold for 7 sec, exhale for 8 sec. Repeat 5 times.",2025-03-06T21:38:24.704966+00:00
125,Shame/Guilt,Draw a Representation of Your Shame – Express emotions visually through drawing.,Guided Meditation on Self-Acceptance – Sit quietly and focus on accepting your imperfections.,2025-03-05T21:38:24.704968+00:00
317,Curiosity/Awe,Listen to an Instrumental Song You’ve Never Heard – Engage curiosity through unfamiliar music.,Read a Random Wikipedia Page – Discover something new by exploring unexpected topics.,2025-02-21T21:38:24.704971+00:00
217,Anxiety/Stress,"Progressive Muscle Relaxation – Tense each muscle for 5 sec, then release.",Write & Rip Technique – Write down worries and tear the paper. Imagine throwing stress away.,2025-03-15T21:38:24.704973+00:00
338,Sadness/Despair,"Mindful Walking – Take a slow walk, paying attention to your breathing and steps.",Holding a Weighted Object – Hug a pillow or weighted blanket for comfort.,2025-03-10T21:38:24.704975+00:00
208,Love/Trust Issues,"Hand-on-Heart Exercise – Close your eyes, place your hand on your heart, and take deep breaths to cultivate self-compassion.","Self-Love Affirmations – Repeat: ""I am worthy of love and trust"" to reinforce self-acceptance.",2025-03-15T21:38:24.704978+00:00
226,Curiosity/Awe,Look at the Sky for 2 Minutes – Observe clouds or stars to experience a sense of wonder.,Write a Question You’d Love to Find the Answer To – Spark curiosity by formulating an intriguing question.,2025-02-19T21:38:24.704980+00:00
201,Curiosity/Awe,Go for a Walk in a New Direction – Explore a new route to experience novelty and excitement.,Look at the Sky for 2 Minutes – Observe clouds or stars to experience a sense of wonder.,2025-02-17T21:38:24.704982+00:00
422,Empathy/Compassion,Loving-Kindness Meditation – Send kind thoughts to yourself and others to cultivate compassion.,Read a Short Story with Deep Emotion – Engage with narratives that foster empathy.,2025-02-27T21:38:24.704984+00:00
250,Disappointment/Regret,Mindful Coloring – Draw or color to distract and reset your focus.,Reframe the Thought – Write one lesson learned from the experience.,2025-03-13T21:38:24.704986+00:00
449,Anger/Resentment,"Tense & Release Shoulders – Shrug up to your ears, hold for 5 sec, then release.","Clench & Release Fists – Clench fists tight for 5 sec, then release, repeating 5 times.",2025-02-14T21:38:24.704988+00:00
